,iata_code,latitude,longitude
461,AVL,35.436194,-82.541806
462,AVN,43.906581,4.902028
463,AVO,27.5913,-81.528967
464,AVP,41.338472,-75.723389
465,AVU,-9.867,160.4
466,AVV,-38.039444,144.469444
467,AVW,32.409556,-111.218389
468,AVX,33.404997,-118.415769
469,AWA,7.067222,38.490278
470,AWB,-8.0,142.75
471,AWD,-19.24,169.605
472,AWE,-0.75,9.45
473,AWH,8.267,44.183
474,AWK,19.28249,166.636661
475,AWM,35.135059,-90.234446
476,AWN,-26.533,139.267
477,AWP,-20.492778,137.766111
478,AWR,-4.117,144.85
479,AWZ,31.337431,48.76195
480,AXA,18.204722,-63.053889
481,AXB,44.316717,-75.899673
482,AXC,-22.967,145.233
483,AXD,40.855869,25.956264
484,AXE,-26.883333333333,-52.383333333333
485,AXG,43.077911,-94.271993
486,AXK,14.551322,46.826183
487,AXL,-19.061667,136.713333
488,AXM,4.453333,-75.765833
489,AXN,45.866306,-95.394667
490,AXP,22.441828,-73.970858
491,AXR,-15.246389,-146.620278
492,AXS,34.698806,-99.338472
493,AXT,39.615556,140.218611
494,AXU,14.14675,38.772833
495,AXV,40.493556,-84.298083
496,AXX,36.422,-105.289905
497,AYA,8.283,-75.133
498,AYC,8.6,-73.6
499,AYD,-19.290833,136.079444
500,AYE,19.833333333333,-72.5
501,AYG,1.544167,-73.933333
502,AYH,52.366666666667,-0.26666666666667
503,AYI,-0.383,-72.267
504,AYK,50.318611,66.952777
505,AYL,-18.020556,135.540278
506,AYN,36.133889,114.343889
507,AYO,2.05,33.75
508,AYP,-13.154819,-74.204417
509,AYQ,-25.186111,130.975556
510,AYR,-19.584444,147.329167
511,AYS,31.248397,-82.395395
512,AYT,36.898731,30.800461
513,AYU,-6.333,145.9
514,AYW,-1.133,132.467
515,AYZ,40.666666666667,-73.416666666667
516,AZB,-10.3,149.333
517,AZD,31.904908,54.276503
518,AZG,19.093425,-102.393608
519,AZI,24.428333,54.458084
520,AZN,40.727739,72.294019
521,AZO,42.234389,-85.551556
522,AZP,19.35,-99.116666666667
523,AZR,27.839167,-0.185278
524,AZT,6.767,-73.267
525,AZZ,-7.862222,13.116111
526,BAA,-5.330556,151.007778
527,BAB,39.136089,-121.436567
528,BAC,4.567,-72.95
529,BAD,32.501931,-93.662628
530,BAE,44.388333,6.610278
531,BAF,42.157947,-72.715875
532,BAG,16.375103,120.619636
533,BAH,26.270834,50.63361
534,BAI,9.163606,-83.329872
535,BAJ,-4.883,149.133
536,BAL,37.928969,41.116583
537,BAM,40.599046,-116.874336
538,BAN,-4.317,20.433
539,BAO,17.383,102.8
540,BAP,-10.333,149.633
541,BAQ,10.889461,-74.780678
542,BAR,0.21666666666667,-176.51666666667
